name,brand,price,link,color01
【NIKE 耐吉】慢跑鞋 運動鞋 NIKE AIR ZOOM PEGASUS 40 GS 男鞋 女鞋 大童 多色(FQ6863131),NIKE ,"1,781",https://m.momoshop.com.tw/goods.momo?i_code=11604015&mdiv=searchEngine&oid=21_18&kw=%E5%A5%B3%E9%9E%8B,黑
【T2R】正韓空運-真皮拼接經典女短靴 休閒鞋 老爹鞋-多任選(日常穿搭/綁帶/拉鍊),T2R,"3,680",https://m.momoshop.com.tw/goods.momo?i_code=11948273&mdiv=searchEngine&oid=15_6&kw=%E5%A5%B3%E9%9E%8B,黑色白色灰色綠色米色
【NIKE 耐吉】Air Force 1 Mini Gold 女鞋 白色 小金勾 四勾 小白鞋 AF1 休閒鞋 FV3654-111,NIKE ,"3,080",https://m.momoshop.com.tw/goods.momo?i_code=11954065&mdiv=searchEngine&oid=4_15&kw=%E5%A5%B3%E9%9E%8B,多色
【SKECHERS】女鞋 休閒系列 D LITES(13167NTPK),SKECHERS,"2,890",https://m.momoshop.com.tw/goods.momo?i_code=10689414&mdiv=searchEngine&oid=28_16&kw=%E5%A5%B3%E9%9E%8B,藍色米色粉紅色
【baibeauty 白鳥麗子】街頭素面翻摺繫帶側拉鍊高筒鞋(休閒鞋),baibeauty ,"1,580",https://m.momoshop.com.tw/goods.momo?i_code=10963381&mdiv=searchEngine&oid=9_16&kw=%E5%A5%B3%E9%9E%8B,黑色米色
【NEW BALANCE】NB Goretex運動鞋/復古鞋_男鞋/女鞋_灰色_M2002RXJ-D,NEW BALANCE,"4,224",https://m.momoshop.com.tw/goods.momo?i_code=12160020&mdiv=searchEngine&oid=2_2&kw=%E5%A5%B3%E9%9E%8B,灰色
【NIKE 耐吉】運動鞋 女鞋 男鞋 休閒鞋 增高 老爹鞋 TC 7900 奶油白 DD9682-100(3W5463),NIKE ,"2,999",https://m.momoshop.com.tw/goods.momo?i_code=9952482&mdiv=searchEngine&oid=11_14&kw=%E5%A5%B3%E9%9E%8B,白色米色多色
【NIKE 耐吉】籃球鞋 運動鞋 SABRINA 1 EP 女鞋 多款任選(FQ3389001&),NIKE ,"4,000",https://m.momoshop.com.tw/goods.momo?i_code=12278907&mdiv=searchEngine&oid=26_20&kw=%E5%A5%B3%E9%9E%8B,多色
【MLB】牛仔丹寧 老爹鞋 學長鞋 Chunky Liner系列 紐約洋基隊(3ASXCDN3N-50GRS),MLB,"5,190",https://m.momoshop.com.tw/goods.momo?i_code=12220633&mdiv=searchEngine&oid=6_15&kw=%E5%A5%B3%E9%9E%8B,灰色
【CONVERSE】CHUCK 70 1970 低筒 休閒鞋 帆布鞋 男鞋 女鞋 白色 米色 3款任選(162062C A02306C),CONVERSE,"1,550",https://m.momoshop.com.tw/goods.momo?i_code=11315456&mdiv=searchEngine&oid=2_17&kw=%E5%A5%B3%E9%9E%8B,白色米色
【NEW FORCE】動感飛織防滑氣墊健走鞋-共4色(減震/氣墊/防滑/運動/增高),NEW FORCE,599,https://m.momoshop.com.tw/goods.momo?i_code=5567837&mdiv=searchEngine&oid=13_4&kw=%E5%A5%B3%E9%9E%8B,多色
【NEW BALANCE】NB 復古鞋/運動鞋_U327WPC-D_中性_深灰色,NEW BALANCE,"2,772",https://m.momoshop.com.tw/goods.momo?i_code=12079829&mdiv=searchEngine&oid=27_15&kw=%E5%A5%B3%E9%9E%8B,灰色
【NEW BALANCE】NB 9060運動鞋/復古鞋_男鞋/女鞋_灰色_U9060MUS-D(IU著用),NEW BALANCE,"3,499",https://m.momoshop.com.tw/goods.momo?i_code=11203355&mdiv=searchEngine&oid=6_17&kw=%E5%A5%B3%E9%9E%8B,灰色米色
【NIKE 耐吉】Air Force 1 大童 黑白色 荔枝皮 經典 穿搭 低筒 AF1 運動 休閒鞋 CT3839-100,NIKE ,"1,850",https://m.momoshop.com.tw/goods.momo?i_code=11657381&mdiv=searchEngine&oid=14_5&kw=%E5%A5%B3%E9%9E%8B,多色
【CONVERSE】休閒鞋 All Star 男鞋 女鞋 低筒 基本款 情侶鞋 復古 帆布鞋 黑(M9166C),CONVERSE,"1,288",https://m.momoshop.com.tw/goods.momo?i_code=5715287&mdiv=searchEngine&oid=23_12&kw=%E5%A5%B3%E9%9E%8B,黑色白色
【PUMA官方旗艦】Trinity Lite 休閒運動鞋 男女共同 38929202,PUMA,"2,280",https://m.momoshop.com.tw/goods.momo?i_code=11262902&mdiv=searchEngine&oid=4_5&kw=%E5%A5%B3%E9%9E%8B,白色
【Robinlo】真皮質感OL職場通勤中大尺碼平底鞋/跟鞋(多款任選),Robinlo,"2,580",https://m.momoshop.com.tw/goods.momo?i_code=8705006&mdiv=searchEngine&oid=6_1&kw=%E5%A5%B3%E9%9E%8B,黑色白色灰色綠色紫色米色棕色/咖啡色卡其色粉紅色
【NIKE 耐吉】休閒鞋 Wmns Phoenix Waffle 女鞋 米白 黑 麂皮 異材質拼接 復古(FD2196-100),NIKE ,"2,980",https://m.momoshop.com.tw/goods.momo?i_code=12303690&mdiv=searchEngine&oid=25_9&kw=%E5%A5%B3%E9%9E%8B,黑色米色
【NIKE 耐吉】休閒鞋 運動鞋 AIR FORCE 1 多款任選(CT1989101&),NIKE ,"3,600",https://m.momoshop.com.tw/goods.momo?i_code=12232544&mdiv=searchEngine&oid=12_3&kw=%E5%A5%B3%E9%9E%8B,多色
【NEW BALANCE】NB 9060運動鞋/復古鞋_男鞋/女鞋_白色_U9060AAB-D(IU著用),NEW BALANCE,"3,499",https://m.momoshop.com.tw/goods.momo?i_code=11203354&mdiv=searchEngine&oid=17_7&kw=%E5%A5%B3%E9%9E%8B,白色
【NIKE 耐吉】慢跑鞋 運動鞋 NIKE AIR MAX 97 女 A-DH8016100 B-DH0558500 精選四款,NIKE,"5,400",https://m.momoshop.com.tw/goods.momo?i_code=9910026&mdiv=searchEngine&oid=15_11&kw=%E5%A5%B3%E9%9E%8B,多色
【NIKE 耐吉】休閒鞋 女鞋 大童 運動鞋 OMNI MULTI-COURT GS 黑 DM9027-402(3K2053),NIKE ,"1,296",https://m.momoshop.com.tw/goods.momo?i_code=11962086&mdiv=searchEngine&oid=29_19&kw=%E5%A5%B3%E9%9E%8B,黑色
【NIKE 耐吉】休閒鞋 運動鞋 W AIR MAX 90 FUTURA 女鞋 白(DM9922101),NIKE ,"2,366",https://m.momoshop.com.tw/goods.momo?i_code=10996331&mdiv=searchEngine&oid=7_11&kw=%E5%A5%B3%E9%9E%8B,白色
【NIKE 耐吉】休閒鞋 運動鞋 W NIKE CORTEZ 女鞋 黑白(FJ7870101),NIKE ,"2,740",https://m.momoshop.com.tw/goods.momo?i_code=11336292&mdiv=searchEngine&oid=11_5&kw=%E5%A5%B3%E9%9E%8B,黑色白色
【CONVERSE品牌旗艦店】RUN STAR LEGACY CX HI 高筒 厚底鞋 男鞋 女鞋 黑白(A00869C A00868C),CONVERSE,"2,749",https://m.momoshop.com.tw/goods.momo?i_code=10578594&mdiv=searchEngine&oid=15_5&kw=%E5%A5%B3%E9%9E%8B,黑色
【NEW BALANCE】NB 復古休閒鞋/運動鞋_男鞋/女鞋_MR530EMA-D_MR530EWB-D,NEW BALANCE,"2,772",https://m.momoshop.com.tw/goods.momo?i_code=12276074&mdiv=searchEngine&oid=1_7&kw=%E5%A5%B3%E9%9E%8B,白色米色
【SKECHERS】女鞋 休閒系列 瞬穿舒適科技 D LUX WALKER(149817MVE),SKECHERS,"3,190",https://m.momoshop.com.tw/goods.momo?i_code=11738019&mdiv=searchEngine&oid=29_9&kw=%E5%A5%B3%E9%9E%8B,粉紅色
【NEW BALANCE】NB 運動鞋/復古鞋_男鞋/女鞋_白色_U9060VNB-D,NEW BALANCE,"4,880",https://m.momoshop.com.tw/goods.momo?i_code=11666877&mdiv=searchEngine&oid=11_15&kw=%E5%A5%B3%E9%9E%8B,白色
【NIKE 耐吉】休閒鞋 女鞋 大童 運動鞋 阿甘鞋 CORTEZ BASIC SL GS 桃紅白 904764-109,NIKE ,"1,199",https://m.momoshop.com.tw/goods.momo?i_code=12121968&mdiv=searchEngine&oid=28_15&kw=%E5%A5%B3%E9%9E%8B,多色
【NIKE 耐吉】休閒鞋 運動鞋 NIKE DUNK LOW BG 男鞋 女鞋 大童 多色(FN6968025),NIKE ,"2,055",https://m.momoshop.com.tw/goods.momo?i_code=11704759&mdiv=searchEngine&oid=7_10&kw=%E5%A5%B3%E9%9E%8B,多色
【NIKE 耐吉】COURT VISION 運動鞋 休閒鞋 女鞋  白色(CD5434100),NIKE ,"1,111",https://m.momoshop.com.tw/goods.momo?i_code=11664334&mdiv=searchEngine&oid=16_1&kw=%E5%A5%B3%E9%9E%8B,白色
【Clarks】女鞋Un Maui Easy全皮面輕量套入便鞋 白色(CLF67557C),Clarks,"6,280",https://m.momoshop.com.tw/goods.momo?i_code=10544270&mdiv=searchEngine&oid=17_11&kw=%E5%A5%B3%E9%9E%8B,白色
【NEW BALANCE】NB 327 復古鞋 運動鞋 休閒鞋 男鞋 聯名款(MS327CWB MS327we MS327FE U327wed),NEW BALANCE,"2,980",https://m.momoshop.com.tw/goods.momo?i_code=11918207&mdiv=searchEngine&oid=29_14&kw=%E5%A5%B3%E9%9E%8B,白色
【NIKE 耐吉】休閒鞋 女鞋 運動鞋 W TECH HERA 燕麥色 DR9761-002(3W5468),NIKE ,"2,170",https://m.momoshop.com.tw/goods.momo?i_code=11903731&mdiv=searchEngine&oid=18_6&kw=%E5%A5%B3%E9%9E%8B,多色
【NIKE 耐吉】休閒鞋 運動鞋 W NIKE CORTEZ 女鞋 黑白(FJ7870101),NIKE ,"2,740",https://m.momoshop.com.tw/goods.momo?i_code=11336292&mdiv=searchEngine&oid=13_5&kw=%E5%A5%B3%E9%9E%8B,黑色白色
【NIKE 耐吉】休閒鞋 W Court Legacy Mule 女鞋 男鞋 半包拖鞋 穆勒鞋 單一價(DJ5058-011),NIKE ,"1,580",https://m.momoshop.com.tw/goods.momo?i_code=10701457&mdiv=searchEngine&oid=28_4&kw=%E5%A5%B3%E9%9E%8B,黑色白色灰色紅色
【NIKE 耐吉】休閒鞋 Wmns Roshe One 女鞋 網布 基本款 運動鞋 多功能 單一價(844994-101),NIKE ,"1,280",https://m.momoshop.com.tw/goods.momo?i_code=11778291&mdiv=searchEngine&oid=10_12&kw=%E5%A5%B3%E9%9E%8B,黑色白色
【PAMAX 帕瑪斯】★帕瑪斯銀纖維氣墊鞋墊★日本專利 『銀纖維氣墊』抗菌防臭 ★(AIR001 /男女),PAMAX ,299,https://m.momoshop.com.tw/goods.momo?i_code=3389382&mdiv=searchEngine&oid=13_16&kw=%E5%A5%B3%E9%9E%8B,黑色
